Q No.,CAT TAGS,QUESTION,A,B,C,D,CORRECT OPTION
1,0​​1: Introduction to health research,Which of the following best describes a study done in a laboratory setting using animals?,Translational research,Bench-based research,Theoretical research,Preventive research,B
2,0​​1: Introduction to health research,Which of the following review is NOT essential before initiating a research study?,Scientific review,Peer review,Regulatory review,Ethics review,B
3,0​​1: Introduction to health research,Which of the following is NOT a type of study design?,Qualitative study,Observational study,Retrospective study,Translational study,D
4,0​​1: Introduction to health research,Which of the following statements is NOT correct regarding errors in a health research?,Random error is due to chance,Systematic error is due to bias,Random errors can be eliminated by random sampling,Bias distorts the study results in one direction,C
5,0​​1: Introduction to health research,State whether the following statement is true or false. Assigning roles and responsibilities to the team members is one of the fundamental principles of a research,TRUE,FALSE,,,A
6,0​​1: Introduction to health research,Health research is usually focused on which of the following areas?,Estimation of disease burden in a population,Prevention of common diseases in the community,Evaluation of public health programs,All the above,D
7,0​​1: Introduction to health research,Which of the following is NOT a component of a research study?,Setting up the institute scientific committee,Calculating sample size,Development of a study tool,Framing the research question,A
8,0​​1: Introduction to health research,"A researcher wants to study the relationship between COVID-19 infection in pregnancy and birth weight. Currently, there is no evidence on this topic. Which of the following options is the scope of this health research?",Verifying and confirming known information,Getting additional or new information,Evaluating ongoing programs,All of the above,B
9,0​​1: Introduction to health research,Which of the following is NOT a critical consideration in planning a health research?,Adequate justification,Clear and focussed research question,Standard case definitions,Financial gain,D
10,0​​1: Introduction to health research,Identify the CORRECT statement about implementation of a research,Research findings must be approved by the funder,Research finding must be error free,Adequate sample size is a prerequisite,Pilot study can be done during data analysis stage,C
11,02: Formulating research question,A clear research question is required in order to facilitate the following:,To choose an optimal study design,To identify the outcomes that need to be measured,To decide when the outcomes need to be measured,All the above,D
12,02: Formulating research question,"Characteristics of a good hypothesis are all, EXCEPT:",There should be no ambiguity about the study variables,It should be stated ‘a priori’,It can be revised based on the study findings,It should specify one exposure and one outcome,C
13,02: Formulating research question,Which of the following is NOT an ideal source of a research question?,Reviewing the published literature,Attending conferences where latest findings are shared,Observing keenly in the out-patient clinic,Mining existing datasets for research question,D
14,02: Formulating research question,Which of the following is TRUE for a ‘Descriptive Research Question’?,Involves observations to measure a quantity,Involves comparison groups,Tests the efficacy of interventions,Requires hypothesis testing,A
15,02: Formulating research question,Which of the following characteristics best describe a good research question?,"Feasible, Novel, Ethical","Feasible, Noble, Ethical","Ethical, Novel, Intuitive","Fantastic, Novel, Relevant",A
16,02: Formulating research question,State whether ‘True’ or ‘False’. A research study is conducted to estimate the seroprevalence of COVID-19 in Ahmedabad city during April-June 2020. This is an example of analytical research question.,TRUE,FALSE,,,B
17,02: Formulating research question,Which of the following statement about study objective/s is FALSE?,Objectives are stated in scientific terms,Objectives can be primary and secondary,Each objective is written using multiple verbs,Objectives should be specific,C
18,02: Formulating research question,"In the life cycle of research, ‘spelling out the research question’ is followed by-",Preparing data collection instrument,Formulating study objectives,Collecting data,Formulating recommendations,B
19,02: Formulating research question,How can the given study objective be improved?“To understand the anaemia in pregnancy”,Using appropriate action verb,Specifying the outcome measure,Specifying the study setting and time period,All the above,D
